Employment;Unemployment;Average price;Price min;Wage average;Wage max;Savings;Total debt;Total firm cash;Deficit;Total money;Wage normalizes;Relative dead count;Unemployment share;Consumption propensity;Consumption budget;Sum production
0.453264;0.546736;0.982311;0.900005;0.979511;1;8067.56;8069.5;1.94257;0;0;15545.4;0;0.511741;0.499188;8017.14;8158.76
0.45357;0.54643;0.982591;0.900005;0.979587;1;8064.72;8066.53;1.81148;0;0;15545.3;0;0.511428;0.499443;8023.63;8164.26
0.45385;0.54615;0.983684;0.900005;0.980038;1;8071.21;8072.9;1.68982;0;0;15547.5;0;0.511079;0.499668;8030.14;8169.29
0.454125;0.545875;0.984412;0.900005;0.980243;1;8071.04;8072.61;1.57196;0;0;15561.2;0;0.513624;0.50018;8044.87;8174.24
0.454461;0.545539;0.984942;0.900005;0.980428;1;8068.38;8069.84;1.46218;0;0;15567.3;0;0.513185;0.50044;8052.7;8180.31
0.454747;0.545253;0.985276;0.900005;0.980554;1;8063.6;8064.97;1.36483;0;0;15572.6;0;0.512714;0.500567;8056.46;8185.45
0.454937;0.545063;0.985525;0.900005;0.980642;1;8058.36;8059.64;1.28252;0;0;15576;0;0.512347;0.500589;8056.46;8188.87
0.455016;0.544984;0.985574;0.900005;0.980638;1;8052.02;8053.23;1.20668;0;0;15578.3;0;0.512103;0.500572;8054.24;8190.29
0.454997;0.545003;0.985427;0.900005;0.980539;1;8044.72;8045.86;1.13739;0;0;15577.7;0;0.51205;0.500478;8048.98;8189.95
0.45488;0.54512;0.985113;0.900005;0.980344;1;8043.48;8044.53;1.056;0;0;15574;0;0.512178;0.500323;8040.99;8187.83
0.454745;0.545255;0.983987;0.900005;0.979619;1;8055.23;8056.2;0.971177;0;0;15567.1;0;0.512493;0.500131;8033.12;8185.4
0.454799;0.545201;0.982981;0.900005;0.979008;1;8066.21;8067.1;0.891651;0;0;15584.3;0;0.513426;0.499647;8029.21;8186.39
0.454887;0.545113;0.982344;0.900005;0.978654;1;8077.11;8077.94;0.824466;0;0;15562.2;0;0.514039;0.499309;8028.58;8187.96
0.455017;0.544983;0.981935;0.900005;0.978385;1;8084.98;8085.74;0.766789;0;0;15549.1;0;0.514352;0.499188;8032.13;8190.31
0.455204;0.544796;0.981708;0.900005;0.978204;1;8088.36;8089.07;0.714913;0;0;15593.4;0;0.514534;0.499184;8036.89;8193.68
0.455412;0.544588;0.981696;0.900005;0.978114;1;8087.07;8087.73;0.667544;0;0;15586.5;0;0.514565;0.499255;8041.18;8197.42
0.455591;0.544409;0.981863;0.900005;0.978091;1;8081.62;8082.24;0.624552;0;0;15583;0;0.514475;0.499399;8044.33;8200.63
0.455709;0.544291;0.982081;0.900005;0.978135;1;8074.86;8075.44;0.581507;0;0;15581.9;0;0.514341;0.499587;8045.86;8202.76
0.455776;0.544224;0.98222;0.900005;0.978149;1;8068.44;8068.98;0.538419;0;0;15583.1;0;0.514193;0.499758;8045.89;8203.96
0.455806;0.544194;0.982156;0.900005;0.978063;1;8061.15;8061.65;0.498211;0;0;15583.4;0;0.514123;0.499864;8044.29;8204.51
0.455793;0.544207;0.981949;0.900005;0.977931;1;8054.89;8055.35;0.457118;0;0;15580.3;0;0.514186;0.499864;8040;8204.27
0.455731;0.544269;0.980718;0.900005;0.97721;1;8066.23;8066.64;0.416216;0;0;15575.8;0;0.514336;0.499807;8032.45;8203.15
0.4559;0.5441;0.979585;0.900005;0.976618;1;8080.54;8080.92;0.377619;0;0;15608.2;0;0.515188;0.499345;8029.74;8206.2
0.456137;0.543863;0.97904;0.900005;0.976255;1;8094.41;8094.76;0.350251;0;0;15586.9;0;0.515669;0.499013;8032.15;8210.47
0.456415;0.543585;0.978768;0.900005;0.976011;1;8102.94;8103.27;0.331087;0;0;15573.7;0;0.515844;0.498988;8040.09;8215.46
0.456749;0.543251;0.978791;0.900005;0.975919;1;8105.77;8106.08;0.310883;0;0;15564.7;0;0.515854;0.499079;8048.38;8221.49
0.45708;0.54292;0.979099;0.900005;0.97597;1;8104.97;8105.27;0.296624;0;0;15561.1;0;0.518859;0.499273;8056.02;8227.44
0.457377;0.542623;0.97941;0.900005;0.976077;1;8104.38;8104.67;0.282665;0;0;15562.5;0;0.518501;0.499544;8063.05;8232.79
0.457679;0.542321;0.980232;0.900005;0.976419;1;8109.24;8109.52;0.272956;0;0;15565.9;0;0.522324;0.499762;8070.34;8238.23
0.457978;0.542022;0.980883;0.900005;0.976652;1;8109.47;8109.75;0.279937;0;0;15576.6;0;0.521708;0.500146;8082.54;8243.6
0.458299;0.541701;0.98135;0.900005;0.976823;1;8108.35;8108.64;0.292964;0;0;15584;0;0.521198;0.500382;8090.01;8249.37
0.458586;0.541414;0.981688;0.900005;0.976959;1;8105.12;8105.42;0.30384;0;0;15589.2;0;0.522113;0.500496;8094.37;8254.54
0.458789;0.541211;0.98184;0.900005;0.977037;1;8101.49;8101.83;0.335233;0;0;15593.3;0;0.521713;0.500535;8095.49;8258.2
0.458911;0.541089;0.981893;0.900005;0.977053;1;8096.74;8097.13;0.394391;0;0;15595.5;0;0.52145;0.50049;8094.08;8260.39
0.458932;0.541068;0.981677;0.900005;0.976972;1;8091.36;8091.81;0.453158;0;0;15595.7;0;0.521686;0.500414;8090.33;8260.78
0.458881;0.541119;0.981226;0.900005;0.976762;1;8092.68;8093.22;0.546377;0;0;15592.8;0;0.523207;0.500243;8083.56;8259.86
0.458835;0.541165;0.9802;0.900005;0.976145;1;8104.43;8105.06;0.632083;0;0;15585.4;0;0.523496;0.500011;8077.51;8259.04
0.458941;0.541059;0.979294;0.900005;0.975611;1;8116.54;8117.26;0.720195;0;0;15568;0;0.524235;0.49959;8075.32;8260.94
0.459095;0.540905;0.978643;0.900005;0.975252;1;8128.9;8129.76;0.854762;0;0;15548.9;0;0.525224;0.499302;8076.59;8263.72
0.459315;0.540685;0.978238;0.900005;0.974991;1;8137.86;8138.9;1.03722;0;0;15536;0;0.525476;0.499176;8081.57;8267.68
0.459584;0.540416;0.978057;0.900005;0.97484;1;8142.76;8144;1.23834;0;0;15594.1;0;0.529802;0.499175;8087.76;8272.51
0.459871;0.540129;0.978125;0.900005;0.974803;1;8143.22;8144.68;1.46016;0;0;15588.6;0;0.529714;0.499266;8094.04;8277.69
0.460133;0.539867;0.978435;0.900005;0.974889;1;8141.91;8143.62;1.71153;0;0;15587.1;0;0.531053;0.499441;8099.75;8282.39
0.460362;0.539638;0.978832;0.900005;0.975014;1;8140.83;8142.8;1.97252;0;0;15589.8;0;0.5321;0.499679;8105.49;8286.52
0.460584;0.539416;0.97953;0.900005;0.975253;1;8142.79;8145;2.2143;0;0;15593.9;0;0.531746;0.499906;8111.56;8290.52
0.460801;0.539199;0.980016;0.900005;0.975439;1;8142.4;8144.93;2.52824;0;0;15601.5;0;0.532291;0.50021;8120.15;8294.42
0.461037;0.538963;0.980346;0.900005;0.97555;1;8140.49;8143.33;2.8375;0;0;15607.4;0;0.531891;0.500366;8125.03;8298.66
0.46123;0.53877;0.98056;0.900005;0.975636;1;8137.54;8140.76;3.22538;0;0;15610.8;0;0.534872;0.500428;8127.13;8302.14
0.461354;0.538646;0.980573;0.900005;0.975654;1;8133.84;8137.46;3.61852;0;0;15613.4;0;0.539042;0.500429;8126.83;8304.36
0.46141;0.53859;0.980356;0.900005;0.975567;1;8128.88;8132.92;4.04102;0;0;15613.7;0;0.538909;0.500349;8123.81;8305.37
0.461388;0.538612;0.979927;0.900005;0.975381;1;8129.73;8134.17;4.44198;0;0;15610.6;0;0.538953;0.500191;8117.8;8304.99
0.461363;0.538637;0.978941;0.900005;0.974846;1;8140.39;8145.22;4.83509;0;0;15604.1;0;0.539184;0.499978;8112.33;8304.54
0.461478;0.538522;0.977987;0.900005;0.974303;1;8152.57;8157.83;5.25912;0;0;15636.3;0;0.534411;0.49958;8109.95;8306.61
0.461653;0.538347;0.977362;0.900005;0.973922;1;8165.16;8170.82;5.66815;0;0;15617;0;0.534911;0.499274;8111.01;8309.75
0.461883;0.538117;0.976944;0.900005;0.973625;1;8174.12;8180.24;6.12186;0;0;15696.3;0;0.535171;0.499163;8116.28;8313.89
0.462166;0.537834;0.9767;0.900005;0.97349;1;8180.18;8186.83;6.64838;0;0;15749.2;0;0.535281;0.499159;8122.61;8318.99
0.462484;0.537516;0.97669;0.900005;0.973441;1;8182.49;8189.67;7.18227;0;0;15744.2;0;0.53261;0.499228;8129.32;8324.7
0.462789;0.537211;0.977026;0.900005;0.973542;1;8182.37;8190.16;7.79275;0;0;15742.4;0;0.534528;0.499378;8136.02;8330.21
0.463056;0.536944;0.977491;0.900005;0.973723;1;8182.96;8191.42;8.46433;0;0;15745.7;0;0.531712;0.49964;8143.31;8335
0.463328;0.536672;0.978112;0.900005;0.973957;1;8185.01;8194.1;9.08974;0;0;15751.8;0;0.531257;0.499903;8151.25;8339.91
0.463608;0.536392;0.978579;0.900005;0.974143;1;8185.12;8194.96;9.83964;0;0;15759.5;0;0.535034;0.500176;8159.96;8344.94
0.46389;0.53611;0.978929;0.900005;0.974273;1;8184.45;8195.08;10.622;0;0;15765.6;0;0.53584;0.500332;8165.58;8350.02
0.464133;0.535867;0.979138;0.900005;0.974362;1;8182.72;8194.2;11.4817;0;0;15769.9;0;0.533115;0.500409;8169;8354.39
0.464315;0.535685;0.97921;0.900005;0.974409;1;8180.6;8193.01;12.4155;0;0;15772.7;0;0.537074;0.500412;8169.99;8357.68
0.464431;0.535569;0.979116;0.900005;0.974391;1;8177.08;8190.46;13.3857;0;0;15774.1;0;0.535329;0.500359;8169;8359.76
0.464473;0.535527;0.978845;0.900005;0.974313;1;8174.09;8188.52;14.4325;0;0;15773.3;0;0.535125;0.500249;8165.48;8360.51
0.464456;0.535544;0.977827;0.900005;0.973868;1;8184.49;8199.83;15.3447;0;0;15770.6;0;0.540089;0.500088;8159.36;8360.21
0.464599;0.535401;0.976904;0.900005;0.97337;1;8197.77;8214.01;16.2399;0;0;15855.2;0;0.53768;0.499655;8156.65;8362.78
0.464792;0.535208;0.976245;0.900005;0.972955;1;8211.8;8228.9;17.0959;0;0;15837.5;0;0.540415;0.499346;8158.2;8366.25
0.465054;0.534946;0.975771;0.900005;0.972677;1;8223.16;8241.16;17.9945;0;0;15822.9;0;0.53665;0.499207;8164.06;8370.97
0.465386;0.534614;0.975546;0.900005;0.972507;1;8231.01;8249.97;18.9561;0;0;15812.9;0;0.536704;0.499171;8171.34;8376.95
0.465749;0.534251;0.975583;0.900005;0.972465;1;8234.82;8254.79;19.9678;0;0;15806.9;0;0.531416;0.499245;8179.45;8383.48
0.466105;0.533895;0.975872;0.900005;0.972602;1;8237.02;8258.07;21.0458;0;0;15805.3;0;0.535356;0.499411;8187.77;8389.89
0.466449;0.533551;0.976466;0.900005;0.972846;1;8240.32;8262.5;22.1778;0;0;15810;0;0.530892;0.499647;8196.78;8396.08
0.466793;0.533207;0.977052;0.900005;0.97306;1;8242.66;8265.93;23.272;0;0;15818.3;0;0.533245;0.499961;8207.48;8402.27
0.467156;0.532844;0.977483;0.900005;0.973229;1;8243.65;8268.05;24.4066;0;0;15825.5;0;0.532536;0.500209;8216.61;8408.81
0.467508;0.532492;0.977831;0.900005;0.973372;1;8243.94;8269.56;25.628;0;0;15831.2;0;0.531996;0.500344;8223.01;8415.15
0.46781;0.53219;0.978058;0.900005;0.973493;1;8243.49;8270.33;26.8373;0;0;15835.9;0;0.526285;0.500417;8227.52;8420.59
0.468052;0.531948;0.978215;0.900005;0.973612;1;8243;8271.07;28.0774;0;0;15840;0;0.525862;0.500427;8230.08;8424.94
0.468228;0.531772;0.978245;0.900005;0.973686;1;8242.4;8271.66;29.2617;0;0;15844;0;0.525499;0.500406;8231.34;8428.1
0.468351;0.531649;0.978075;0.900005;0.973685;1;8240.38;8270.79;30.4118;0;0;15846.5;0;0.525249;0.500337;8230.98;8430.32
0.468416;0.531584;0.977759;0.900005;0.973633;1;8240.5;8272.11;31.6121;0;0;15846.3;0;0.525131;0.5002;8228.07;8431.49
0.468448;0.531552;0.976637;0.900005;0.973163;1;8253.64;8286.12;32.4792;0;0;15844.5;0;0.525123;0.500031;8223.65;8432.07
0.468669;0.531331;0.975728;0.900005;0.972652;1;8269.91;8303.06;33.1544;0;0;15899.5;0;0.525609;0.499565;8222.34;8436.05
0.468946;0.531054;0.975157;0.900005;0.972265;1;8285.93;8319.73;33.796;0;0;15923.8;0;0.525949;0.49928;8226.54;8441.02
0.469297;0.530703;0.97483;0.900005;0.971975;1;8297.05;8331.54;34.496;0;0;15910.1;0;0.526099;0.49919;8234.91;8447.34
0.469701;0.530299;0.974747;0.900005;0.971859;1;8304.1;8339.39;35.289;0;0;15899.9;0;0.526068;0.499218;8243.96;8454.62
0.470122;0.529878;0.974982;0.900005;0.971937;1;8308.03;8344.18;36.1544;0;0;15895.8;0;0.528595;0.49934;8253.51;8462.2
0.470527;0.529473;0.975482;0.900005;0.972164;1;8312.88;8349.91;37.0381;0;0;15898.5;0;0.525719;0.499569;8263.74;8469.48
0.470943;0.529057;0.976034;0.900005;0.972363;1;8316.02;8353.85;37.8381;0;0;15906.3;0;0.525075;0.49986;8275.47;8476.97
0.471342;0.528658;0.976484;0.900005;0.972567;1;8318.02;8356.55;38.5329;1.86816;0;15913.2;5.55556e-05;0.524451;0.500114;8285.14;8484.15
0.471763;0.528237;0.976819;0.900005;0.972708;1;8320.52;8357.88;37.3698;0.0113938;0;15919.3;0;0.52786;0.500321;8295.24;8491.73
0.472183;0.527817;0.977169;0.900005;0.972924;1;8321.96;8359.97;38.0167;0;0;15924.9;0;0.529653;0.500394;8301.38;8499.3
0.472506;0.527494;0.977432;0.900005;0.973066;1;8321.44;8360.1;38.8869;2.16324;0;15932.3;0;0.528767;0.500458;8306;8505.11
0.472778;0.527222;0.977558;0.900005;0.973161;1;8323.6;8360.91;37.3108;0;0;15937.2;0;0.528291;0.500521;8311.14;8510.01
