Realized inflation;Immediate inflation;Loan interest rate;Average loan interest rate;Deposit interest rate;Average deposit IR
-0.000371581;-1.52625e-05;0.000227384;9.56144e-05;-0.000227281;-9.55773e-05
-0.000300317;0.000321981;0.000342266;0.000121968;-0.000342031;-0.000121918
-0.000175857;0.000537229;0.000377402;0.000166028;-0.000377118;-0.000165941
-3.32402e-05;0.000564605;0.000325309;0.000208303;-0.000325098;-0.000208176
8.63289e-05;0.00054682;4.51131e-05;0.000231704;-4.51091e-05;-0.00023156
0.000178427;0.000383605;0.000223678;0.000194386;-0.000223578;-0.00019427
0.000219463;0.000255605;0.000197395;0.000200244;-0.000197317;-0.000200132
0.000226691;0.000136471;0.000275729;0.000199674;-0.000275577;-0.000199569
0.000208647;-8.74411e-05;0.000242402;0.000214885;-0.000242285;-0.00021477
0.00014943;-0.000199791;0.000435004;0.000220389;-0.000434626;-0.000220273
7.95854e-05;-0.000401289;0.00053373;0.000263312;-0.000533161;-0.000263144
-1.65894e-05;-0.00113149;0;0.000317395;0;-0.000317147
-0.000239569;-0.000777727;0;0.000253916;0;-0.000253718
-0.000347201;-0.000580199;0.000222833;0.000203133;-0.000222733;-0.000202974
-0.0003938;-0.000443427;0.000339724;0.000207073;-0.000339493;-0.000206926
-0.000403726;-0.000154203;0.000547306;0.000233603;-0.000546708;-0.00023344
-0.000353821;0.000144039;0.000545086;0.000296344;-0.000544493;-0.000296093
-0.000254249;0.000601854;0.000439791;0.000346092;-0.000439405;-0.000345773
-8.30282e-05;0.000594879;0.000544788;0.000364832;-0.000544195;-0.000364499
5.25532e-05;0.000480579;0.000744111;0.000400823;-0.000743005;-0.000400438
0.000138158;0.000416148;0.000834045;0.000469481;-0.000832656;-0.000468952
0.000193756;0.000436313;0.000794946;0.000542394;-0.000793684;-0.000541693
0.000242268;0.0003703;0.000748134;0.000592904;-0.000747017;-0.000592091
0.000267874;0.000313234;0.000734585;0.00062395;-0.000733507;-0.000623076
0.000276946;0.000221821;0.000707653;0.000646077;-0.000706653;-0.000645162
0.000265921;0.000138907;0.000695925;0.000658392;-0.000694957;-0.00065746
0.000240518;4.00942e-07;0.000673835;0.000665899;-0.000672928;-0.00066496
0.000192495;-0.00020423;0.000757573;0.000667486;-0.000756427;-0.000666553
0.00011315;-0.000414962;0.000866268;0.000685503;-0.00086477;-0.000684528
7.52748e-06;-0.00128742;0.00085072;0.000721656;-0.000849275;-0.000720576
-0.000251462;-0.000867195;0.00107126;0.000747469;-0.00106897;-0.000746316
-0.000374608;-0.000513815;0.00117805;0.000812228;-0.00117529;-0.000810847
-0.00040245;-0.000141866;0.00115954;0.000885393;-0.00115686;-0.000883735
-0.000350333;0.000215669;0.00126683;0.000940222;-0.00126363;-0.000938359
-0.000237133;0.000483537;0.00136649;0.00100554;-0.00136277;-0.00100341
-9.29986e-05;0.000567334;0.00158667;0.00107773;-0.00158165;-0.00107528
3.90678e-05;0.000573017;0.00178631;0.00117952;-0.00177995;-0.00117656
0.000145858;0.000551706;0.00176631;0.00130088;-0.00176009;-0.00129724
0.000227027;0.000548906;0.0018369;0.00139396;-0.00183018;-0.00138981
0.000291403;0.000499854;0.00204505;0.00148255;-0.00203672;-0.00147788
0.000333093;0.000386268;0.00202712;0.00159505;-0.00201894;-0.00158965
0.000343728;0.00032777;0.00200745;0.00168147;-0.00199943;-0.00167551
0.000340537;0.000290748;0.00199463;0.00174666;-0.00198671;-0.00174029
0.000330579;0.000238629;0.00189135;0.00179626;-0.00188422;-0.00178957
0.000312189;0.00016081;0.00198113;0.00181527;-0.00197331;-0.0018085
0.000281913;-1.26092e-05;0.00196949;0.00184845;-0.00196176;-0.00184146
0.000223008;-0.000127113;0.00194996;0.00187265;-0.00194239;-0.00186552
0.000152984;-0.000261858;0.00192923;0.00188812;-0.00192181;-0.0018809
7.00157e-05;-0.00118497;0.00188681;0.00189634;-0.00187972;-0.00188908
-0.000180982;-0.000989953;0.00187355;0.00189443;-0.00186656;-0.00188721
-0.000342776;-0.000596939;0.00196544;0.00189026;-0.00195774;-0.00188308
-0.000393608;-0.000327304;0.00195601;0.00190529;-0.00194839;-0.00189801
-0.000380348;-2.27278e-05;0.00206403;0.00191544;-0.00205554;-0.00190809
-0.000308824;0.000225435;0.00203111;0.00194515;-0.0020229;-0.00193758
-0.000201972;0.000571665;0.00202713;0.00196235;-0.00201894;-0.00195464
-4.72444e-05;0.000529629;0.00202534;0.0019753;-0.00201717;-0.0019675
6.81302e-05;0.000484581;0.00198628;0.00198531;-0.00197842;-0.00197743
0.00015142;0.000355049;0.00196315;0.0019855;-0.00195547;-0.00197763
0.000192146;0.000299421;0.00195259;0.00198103;-0.001945;-0.0019732
0.000213601;0.000227318;0.00193897;0.00197535;-0.00193148;-0.00196756
0.000216344;0.00012392;0.00193171;0.00196807;-0.00192428;-0.00196034
0.00019786;-5.37304e-05;0.00191582;0.0019608;-0.0019085;-0.00195313
0.000147542;-0.000225932;0.00189078;0.0019518;-0.00188366;-0.00194421
7.28468e-05;-0.000434014;0.00188632;0.0019396;-0.00187923;-0.0019321
-2.85253e-05;-0.00126076;0.00186982;0.00192894;-0.00186285;-0.00192152
-0.000274972;-0.000857586;0.00182433;0.00191712;-0.00181769;-0.00190979
