Realized inflation;Immediate inflation;Loan interest rate;Average loan interest rate;Deposit interest rate;Average deposit IR
-0.000218252;0.000508317;0;9.70501e-06;0;-9.70218e-06
-7.29384e-05;0.000493059;0;7.76401e-06;0;-7.76175e-06
4.02611e-05;0.000400399;0;6.21121e-06;0;-6.2094e-06
0.000112289;0.000335213;0.000113438;4.96897e-06;-0.000113412;-4.96752e-06
0.000156874;0.00028476;0;2.66628e-05;0;-2.66565e-05
0.000182451;0.000263152;0;2.13302e-05;0;-2.13252e-05
0.000198591;0.000168179;0;1.70642e-05;0;-1.70601e-05
0.000192509;6.62682e-05;0;1.36513e-05;0;-1.36481e-05
0.000167261;-7.52839e-05;0;1.09211e-05;0;-1.09185e-05
0.000118752;-0.000290952;0;8.73686e-06;0;-8.73479e-06
3.68111e-05;-0.000673984;0;6.98949e-06;0;-6.98783e-06
-0.000105348;-0.00124037;0;5.59159e-06;0;-5.59027e-06
-0.000332352;-0.000657145;0;4.47327e-06;0;-4.47221e-06
-0.000397311;-0.000374196;0;3.57862e-06;0;-3.57777e-06
-0.000392688;-0.000109813;0;2.86289e-06;0;-2.86222e-06
-0.000336113;0.000200262;0;2.29031e-06;0;-2.28977e-06
-0.000228838;0.000471495;0;1.83225e-06;0;-1.83182e-06
-8.87711e-05;0.000520446;0;1.4658e-06;0;-1.46545e-06
3.30723e-05;0.000394329;0;1.17264e-06;0;-1.17236e-06
0.000105324;0.000389587;0;9.38113e-07;0;-9.37891e-07
0.000162176;0.000281002;0;7.5049e-07;0;-7.50313e-07
0.000185941;0.000216084;0;6.00392e-07;0;-6.0025e-07
0.00019197;0.000172225;0;4.80314e-07;0;-4.802e-07
0.000188021;0.000111412;0;3.84251e-07;0;-3.8416e-07
0.000172699;1.3753e-05;0;3.07401e-07;0;-3.07328e-07
0.00014091;-0.000162138;0;2.45921e-07;0;-2.45863e-07
8.03003e-05;-0.000242253;0;1.96737e-07;0;-1.9669e-07
1.57896e-05;-0.00100919;0;1.57389e-07;0;-1.57352e-07
-0.000189206;-0.00113514;0;1.25911e-07;0;-1.25882e-07
-0.000378393;-0.000566827;0;1.00729e-07;0;-1.00705e-07
-0.00041608;-0.000217902;0;8.05833e-08;0;-8.05642e-08
-0.000376444;9.4293e-05;0;6.44666e-08;0;-6.44514e-08
-0.000282297;0.000401798;0;5.15733e-08;0;-5.15611e-08
-0.000145478;0.000587158;0;4.12586e-08;0;-4.12489e-08
1.04925e-06;0.000509258;0;3.30069e-08;0;-3.29991e-08
0.000102691;0.000456829;0;2.64055e-08;0;-2.63993e-08
0.000173519;0.000355312;0;2.11244e-08;0;-2.11194e-08
0.000209877;0.000310969;0;1.68995e-08;0;-1.68955e-08
0.000230096;0.000237137;0;1.35196e-08;0;-1.35164e-08
0.000231504;0.00018185;0;1.08157e-08;0;-1.08131e-08
0.000221573;8.6797e-05;0;8.65256e-09;0;-8.65052e-09
0.000194618;2.08508e-06;0;6.92205e-09;0;-6.92041e-09
0.000156111;-0.00013731;0;5.53764e-09;0;-5.53633e-09
9.74271e-05;-0.000312388;0;4.43011e-09;0;-4.42907e-09
1.54641e-05;-0.00118066;0;3.54409e-09;0;-3.54325e-09
-0.00022376;-0.000963329;0;2.83527e-09;0;-2.8346e-09
-0.000371674;-0.000459633;0;2.26822e-09;0;-2.26768e-09
-0.000389266;-0.00018247;0;1.81457e-09;0;-1.81415e-09
-0.000347907;0.000171638;0;1.45166e-09;0;-1.45132e-09
-0.000243998;0.000381634;0;1.16133e-09;0;-1.16105e-09
-0.000118871;0.00053924;0;9.29062e-10;0;-9.28842e-10
